Ontology File;Number of Classes;Number of Object Properties;Number of Datatype Properties;Total Properties;Relationship Richness;Class Documentation Coverage;Property Documentation Coverage;Class Naming Consistency;Property Naming Consistency;Axiom Richness;Cardinality Restrictions;Properties with Domain;Properties with Range;Disjoint Classes;Functional Properties;Inverse Functional Properties;SomeValuesFrom Restrictions;AllValuesFrom Restrictions
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\energyusagecost\EnergyUsageCost.owl;22;9;2;11;0.3333333333333333;0.5;0.6363636363636364;0.6363636363636364;1.0;3.6363636363636362;8;5;5;2;0;0;9;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\equipmentdesignparameters\EquipmentDesignParameters.owl;52;17;18;35;0.40229885057471265;0.9230769230769231;0.8571428571428571;0.9423076923076923;1.0;5.448275862068965;22;16;32;0;0;0;26;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\generationfunctionality\GenerationFunctionality.owl;1;0;1;1;0.5;0.0;1.0;1.0;1.0;3.0;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\providedenergytype\ProvidedEnergyType.owl;21;3;1;4;0.16;0.047619047619047616;1.0;0.2857142857142857;1.0;3.88;0;4;4;0;0;0;4;1
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\sensorconfiguration\SensorConfiguration.owl;13;2;0;2;0.13333333333333333;0.0;1.0;0.6153846153846154;1.0;5.133333333333334;1;1;1;0;0;0;15;2
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\sensoroperation\SensorOperation.owl;4;1;0;1;0.2;0.0;0.0;0.0;1.0;31.6;12;0;0;0;0;0;49;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\spacesenvironmental\SpacesEnvironmental.owl;0;3;1;4;1.0;0.0;1.0;0.0;1.0;3.75;1;3;4;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\systemactors\SystemActors.owl;7;1;1;2;0.2222222222222222;0.7142857142857143;0.5;0.7142857142857143;1.0;3.6666666666666665;0;1;1;0;0;0;2;0
DABGEO\3-domain-task layer\application_type\home_energy_assessment_device_control\userpreferences\UserPreferences.owl;34;12;0;12;0.2608695652173913;0.6176470588235294;0.5833333333333334;0.7647058823529411;1.0;3.391304347826087;0;8;5;2;0;0;16;1
DABGEO\3-domain-task layer\application_type\home_energy_saving\savingpostsdiscussions\EnergySavingPostsDiscussions.owl;13;7;13;20;0.6060606060606061;1.0;1.0;1.0;1.0;2.5454545454545454;0;19;19;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\businessprocess\BusinessProcess.owl;18;6;0;6;0.25;0.8888888888888888;1.0;1.0;1.0;2.8333333333333335;0;8;6;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\businessprocessenergyperformance\BusinessProcessEnergyPerformance.owl;2;3;1;4;0.6666666666666666;1.0;1.0;1.0;1.0;3.6666666666666665;0;2;3;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\organizationactivity\OrganizationActivity.owl;27;4;6;10;0.2702702702702703;0.9259259259259259;1.0;1.0;1.0;2.5675675675675675;0;10;10;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\organizationinternalstructure\OrganizationInternalStructure.owl;1;1;0;1;0.5;1.0;1.0;1.0;1.0;6.5;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\organizationmembers\Organizationmembers.owl;5;1;5;6;0.5454545454545454;1.0;1.0;1.0;1.0;4.0;0;6;6;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_assessment\organizationtravel\OrganizationTravel.owl;2;1;1;2;0.5;1.0;1.0;1.0;1.0;5.75;0;2;2;0;0;0;0;0
DABGEO\3-domain-task layer\application_type\organization_energy_saving_advice\energyreductionmeasures\EnergyReductionMeasures.owl;29;7;2;9;0.23684210526315788;0.8275862068965517;0.8888888888888888;0.7931034482758621;1.0;2.8157894736842106;2;8;6;0;0;0;7;0
DABGEO\3-domain-task layer\smart_grid_scenario\building_district_city\populatedplaces\PopulatedPlaces.owl;40;0;0;0;0.0;0.975;0.0;1.0;0.0;2.125;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\building_district_city\weatherrelated\WeatherRelated.owl;3;0;0;0;0.0;1.0;0.0;1.0;0.0;2.6666666666666665;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\organization\organization\Organization.owl;44;0;0;0;0.0;1.0;0.0;0.9772727272727273;0.0;2.0681818181818183;0;0;0;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_grid_dr\appliancecategory\ApplianceCategory.owl;5;1;0;1;0.16666666666666666;1.0;1.0;0.8;1.0;2.1666666666666665;0;1;1;0;0;0;0;0
DABGEO\3-domain-task layer\smart_grid_scenario\smart_grid_dr\dersstate\DersState.owl;1;0;3;3;0.75;0.0;1.0;0.0;1.0;3.0;0;3;2;0;0;0;0;0
